Beer [beerMoving=RegularBeerMovingStrategy [posY=-48.0], beerScoring=BigBeerScoringStrategy [GAMEPOINT=4, ALCOHOLPOINT=2], beerSizing=BigBeerSizingStrategy [WIDTH=5, HEIGHT=15]]Player [playerName=null, gameScore=0, alcoholLevel=0, xMove=-3.5, getGameScore()=0, getAlcoholLevel()=0, getPosX()=613.5]
Beer [beerMoving=RegularBeerMovingStrategy [posY=28.0], beerScoring=BigBeerScoringStrategy [GAMEPOINT=4, ALCOHOLPOINT=2], beerSizing=BigBeerSizingStrategy [WIDTH=5, HEIGHT=15]]Player [playerName=null, gameScore=0, alcoholLevel=0, xMove=-3.5, getGameScore()=0, getAlcoholLevel()=0, getPosX()=480.5]
Beer [beerMoving=RegularBeerMovingStrategy [posY=30.0], beerScoring=BigBeerScoringStrategy [GAMEPOINT=4, ALCOHOLPOINT=2], beerSizing=BigBeerSizingStrategy [WIDTH=5, HEIGHT=15]]Player [playerName=null, gameScore=0, alcoholLevel=0, xMove=-3.5, getGameScore()=0, getAlcoholLevel()=0, getPosX()=477.0]
Beer [beerMoving=RegularBeerMovingStrategy [posY=32.0], beerScoring=BigBeerScoringStrategy [GAMEPOINT=4, ALCOHOLPOINT=2], beerSizing=BigBeerSizingStrategy [WIDTH=5, HEIGHT=15]]Player [playerName=null, gameScore=0, alcoholLevel=0, xMove=-3.5, getGameScore()=0, getAlcoholLevel()=0, getPosX()=473.5]
Beer [beerMoving=RegularBeerMovingStrategy [posY=34.0], beerScoring=BigBeerScoringStrategy [GAMEPOINT=4, ALCOHOLPOINT=2], beerSizing=BigBeerSizingStrategy [WIDTH=5, HEIGHT=15]]Player [playerName=null, gameScore=0, alcoholLevel=0, xMove=-3.5, getGameScore()=0, getAlcoholLevel()=0, getPosX()=470.0]
Beer [beerMoving=RegularBeerMovingStrategy [posY=36.0], beerScoring=BigBeerScoringStrategy [GAMEPOINT=4, ALCOHOLPOINT=2], beerSizing=BigBeerSizingStrategy [WIDTH=5, HEIGHT=15]]Player [playerName=null, gameScore=0, alcoholLevel=0, xMove=-3.5, getGameScore()=0, getAlcoholLevel()=0, getPosX()=466.5]
Beer [beerMoving=RegularBeerMovingStrategy [posY=38.0], beerScoring=BigBeerScoringStrategy [GAMEPOINT=4, ALCOHOLPOINT=2], beerSizing=BigBeerSizingStrategy [WIDTH=5, HEIGHT=15]]Player [playerName=null, gameScore=0, alcoholLevel=0, xMove=-3.5, getGameScore()=0, getAlcoholLevel()=0, getPosX()=463.0]
Beer [beerMoving=RegularBeerMovingStrategy [posY=40.0], beerScoring=BigBeerScoringStrategy [GAMEPOINT=4, ALCOHOLPOINT=2], beerSizing=BigBeerSizingStrategy [WIDTH=5, HEIGHT=15]]Player [playerName=null, gameScore=0, alcoholLevel=0, xMove=-3.5, getGameScore()=0, getAlcoholLevel()=0, getPosX()=459.5]
Beer [beerMoving=RegularBeerMovingStrategy [posY=42.0], beerScoring=BigBeerScoringStrategy [GAMEPOINT=4, ALCOHOLPOINT=2], beerSizing=BigBeerSizingStrategy [WIDTH=5, HEIGHT=15]]Player [playerName=null, gameScore=0, alcoholLevel=0, xMove=-3.5, getGameScore()=0, getAlcoholLevel()=0, getPosX()=456.0]
Beer [beerMoving=RegularBeerMovingStrategy [posY=44.0], beerScoring=BigBeerScoringStrategy [GAMEPOINT=4, ALCOHOLPOINT=2], beerSizing=BigBeerSizingStrategy [WIDTH=5, HEIGHT=15]]Player [playerName=null, gameScore=0, alcoholLevel=0, xMove=-3.5, getGameScore()=0, getAlcoholLevel()=0, getPosX()=452.5]
Beer [beerMoving=RegularBeerMovingStrategy [posY=46.0], beerScoring=BigBeerScoringStrategy [GAMEPOINT=4, ALCOHOLPOINT=2], beerSizing=BigBeerSizingStrategy [WIDTH=5, HEIGHT=15]]Player [playerName=null, gameScore=0, alcoholLevel=0, xMove=-3.5, getGameScore()=0, getAlcoholLevel()=0, getPosX()=449.0]
Beer [beerMoving=RegularBeerMovingStrategy [posY=48.0], beerScoring=BigBeerScoringStrategy [GAMEPOINT=4, ALCOHOLPOINT=2], beerSizing=BigBeerSizingStrategy [WIDTH=5, HEIGHT=15]]Player [playerName=null, gameScore=0, alcoholLevel=0, xMove=-3.5, getGameScore()=0, getAlcoholLevel()=0, getPosX()=445.5]
Beer [beerMoving=RegularBeerMovingStrategy [posY=50.0], beerScoring=BigBeerScoringStrategy [GAMEPOINT=4, ALCOHOLPOINT=2], beerSizing=BigBeerSizingStrategy [WIDTH=5, HEIGHT=15]]Player [playerName=null, gameScore=0, alcoholLevel=0, xMove=-3.5, getGameScore()=0, getAlcoholLevel()=0, getPosX()=442.0]
Beer [beerMoving=RegularBeerMovingStrategy [posY=52.0], beerScoring=BigBeerScoringStrategy [GAMEPOINT=4, ALCOHOLPOINT=2], beerSizing=BigBeerSizingStrategy [WIDTH=5, HEIGHT=15]]Player [playerName=null, gameScore=0, alcoholLevel=0, xMove=-3.5, getGameScore()=0, getAlcoholLevel()=0, getPosX()=438.5]
Beer [beerMoving=RegularBeerMovingStrategy [posY=54.0], beerScoring=BigBeerScoringStrategy [GAMEPOINT=4, ALCOHOLPOINT=2], beerSizing=BigBeerSizingStrategy [WIDTH=5, HEIGHT=15]]Player [playerName=null, gameScore=0, alcoholLevel=0, xMove=-3.5, getGameScore()=0, getAlcoholLevel()=0, getPosX()=435.0]
Beer [beerMoving=RegularBeerMovingStrategy [posY=56.0], beerScoring=BigBeerScoringStrategy [GAMEPOINT=4, ALCOHOLPOINT=2], beerSizing=BigBeerSizingStrategy [WIDTH=5, HEIGHT=15]]Player [playerName=null, gameScore=0, alcoholLevel=0, xMove=-3.5, getGameScore()=0, getAlcoholLevel()=0, getPosX()=431.5]
Beer [beerMoving=RegularBeerMovingStrategy [posY=58.0], beerScoring=BigBeerScoringStrategy [GAMEPOINT=4, ALCOHOLPOINT=2], beerSizing=BigBeerSizingStrategy [WIDTH=5, HEIGHT=15]]Player [playerName=null, gameScore=0, alcoholLevel=0, xMove=-3.5, getGameScore()=0, getAlcoholLevel()=0, getPosX()=428.0]
Beer [beerMoving=RegularBeerMovingStrategy [posY=60.0], beerScoring=BigBeerScoringStrategy [GAMEPOINT=4, ALCOHOLPOINT=2], beerSizing=BigBeerSizingStrategy [WIDTH=5, HEIGHT=15]]Player [playerName=null, gameScore=0, alcoholLevel=0, xMove=-3.5, getGameScore()=0, getAlcoholLevel()=0, getPosX()=424.5]
Beer [beerMoving=RegularBeerMovingStrategy [posY=62.0], beerScoring=BigBeerScoringStrategy [GAMEPOINT=4, ALCOHOLPOINT=2], beerSizing=BigBeerSizingStrategy [WIDTH=5, HEIGHT=15]]Player [playerName=null, gameScore=0, alcoholLevel=0, xMove=-3.5, getGameScore()=0, getAlcoholLevel()=0, getPosX()=421.0]
Beer [beerMoving=RegularBeerMovingStrategy [posY=64.0], beerScoring=BigBeerScoringStrategy [GAMEPOINT=4, ALCOHOLPOINT=2], beerSizing=BigBeerSizingStrategy [WIDTH=5, HEIGHT=15]]Player [playerName=null, gameScore=0, alcoholLevel=0, xMove=-3.5, getGameScore()=0, getAlcoholLevel()=0, getPosX()=417.5]
Beer [beerMoving=RegularBeerMovingStrategy [posY=66.0], beerScoring=BigBeerScoringStrategy [GAMEPOINT=4, ALCOHOLPOINT=2], beerSizing=BigBeerSizingStrategy [WIDTH=5, HEIGHT=15]]Player [playerName=null, gameScore=0, alcoholLevel=0, xMove=-3.5, getGameScore()=0, getAlcoholLevel()=0, getPosX()=414.0]
Beer [beerMoving=RegularBeerMovingStrategy [posY=68.0], beerScoring=BigBeerScoringStrategy [GAMEPOINT=4, ALCOHOLPOINT=2], beerSizing=BigBeerSizingStrategy [WIDTH=5, HEIGHT=15]]Player [playerName=null, gameScore=0, alcoholLevel=0, xMove=-3.5, getGameScore()=0, getAlcoholLevel()=0, getPosX()=410.5]
Beer [beerMoving=RegularBeerMovingStrategy [posY=70.0], beerScoring=BigBeerScoringStrategy [GAMEPOINT=4, ALCOHOLPOINT=2], beerSizing=BigBeerSizingStrategy [WIDTH=5, HEIGHT=15]]Player [playerName=null, gameScore=0, alcoholLevel=0, xMove=-3.5, getGameScore()=0, getAlcoholLevel()=0, getPosX()=407.0]
Beer [beerMoving=RegularBeerMovingStrategy [posY=72.0], beerScoring=BigBeerScoringStrategy [GAMEPOINT=4, ALCOHOLPOINT=2], beerSizing=BigBeerSizingStrategy [WIDTH=5, HEIGHT=15]]Player [playerName=null, gameScore=0, alcoholLevel=0, xMove=-3.5, getGameScore()=0, getAlcoholLevel()=0, getPosX()=403.5]
Beer [beerMoving=RegularBeerMovingStrategy [posY=74.0], beerScoring=BigBeerScoringStrategy [GAMEPOINT=4, ALCOHOLPOINT=2], beerSizing=BigBeerSizingStrategy [WIDTH=5, HEIGHT=15]]Player [playerName=null, gameScore=0, alcoholLevel=0, xMove=-3.5, getGameScore()=0, getAlcoholLevel()=0, getPosX()=400.0]
Beer [beerMoving=RegularBeerMovingStrategy [posY=76.0], beerScoring=BigBeerScoringStrategy [GAMEPOINT=4, ALCOHOLPOINT=2], beerSizing=BigBeerSizingStrategy [WIDTH=5, HEIGHT=15]]Player [playerName=null, gameScore=0, alcoholLevel=0, xMove=-3.5, getGameScore()=0, getAlcoholLevel()=0, getPosX()=396.5]
Beer [beerMoving=RegularBeerMovingStrategy [posY=78.0], beerScoring=BigBeerScoringStrategy [GAMEPOINT=4, ALCOHOLPOINT=2], beerSizing=BigBeerSizingStrategy [WIDTH=5, HEIGHT=15]]Player [playerName=null, gameScore=0, alcoholLevel=0, xMove=-3.5, getGameScore()=0, getAlcoholLevel()=0, getPosX()=393.0]
Beer [beerMoving=RegularBeerMovingStrategy [posY=80.0], beerScoring=BigBeerScoringStrategy [GAMEPOINT=4, ALCOHOLPOINT=2], beerSizing=BigBeerSizingStrategy [WIDTH=5, HEIGHT=15]]Player [playerName=null, gameScore=0, alcoholLevel=0, xMove=-3.5, getGameScore()=0, getAlcoholLevel()=0, getPosX()=389.5]
Beer [beerMoving=RegularBeerMovingStrategy [posY=82.0], beerScoring=BigBeerScoringStrategy [GAMEPOINT=4, ALCOHOLPOINT=2], beerSizing=BigBeerSizingStrategy [WIDTH=5, HEIGHT=15]]Player [playerName=null, gameScore=0, alcoholLevel=0, xMove=-3.5, getGameScore()=0, getAlcoholLevel()=0, getPosX()=386.0]
Beer [beerMoving=RegularBeerMovingStrategy [posY=84.0], beerScoring=BigBeerScoringStrategy [GAMEPOINT=4, ALCOHOLPOINT=2], beerSizing=BigBeerSizingStrategy [WIDTH=5, HEIGHT=15]]Player [playerName=null, gameScore=0, alcoholLevel=0, xMove=-3.5, getGameScore()=0, getAlcoholLevel()=0, getPosX()=382.5]
Beer [beerMoving=RegularBeerMovingStrategy [posY=86.0], beerScoring=BigBeerScoringStrategy [GAMEPOINT=4, ALCOHOLPOINT=2], beerSizing=BigBeerSizingStrategy [WIDTH=5, HEIGHT=15]]Player [playerName=null, gameScore=0, alcoholLevel=0, xMove=-3.5, getGameScore()=0, getAlcoholLevel()=0, getPosX()=379.0]
Beer [beerMoving=RegularBeerMovingStrategy [posY=88.0], beerScoring=BigBeerScoringStrategy [GAMEPOINT=4, ALCOHOLPOINT=2], beerSizing=BigBeerSizingStrategy [WIDTH=5, HEIGHT=15]]Player [playerName=null, gameScore=0, alcoholLevel=0, xMove=-3.5, getGameScore()=0, getAlcoholLevel()=0, getPosX()=375.5]
Beer [beerMoving=RegularBeerMovingStrategy [posY=90.0], beerScoring=BigBeerScoringStrategy [GAMEPOINT=4, ALCOHOLPOINT=2], beerSizing=BigBeerSizingStrategy [WIDTH=5, HEIGHT=15]]Player [playerName=null, gameScore=0, alcoholLevel=0, xMove=-3.5, getGameScore()=0, getAlcoholLevel()=0, getPosX()=372.0]
Beer [beerMoving=RegularBeerMovingStrategy [posY=92.0], beerScoring=BigBeerScoringStrategy [GAMEPOINT=4, ALCOHOLPOINT=2], beerSizing=BigBeerSizingStrategy [WIDTH=5, HEIGHT=15]]Player [playerName=null, gameScore=0, alcoholLevel=0, xMove=-3.5, getGameScore()=0, getAlcoholLevel()=0, getPosX()=368.5]
Beer [beerMoving=RegularBeerMovingStrategy [posY=94.0], beerScoring=BigBeerScoringStrategy [GAMEPOINT=4, ALCOHOLPOINT=2], beerSizing=BigBeerSizingStrategy [WIDTH=5, HEIGHT=15]]Player [playerName=null, gameScore=0, alcoholLevel=0, xMove=-3.5, getGameScore()=0, getAlcoholLevel()=0, getPosX()=365.0]
Beer [beerMoving=RegularBeerMovingStrategy [posY=96.0], beerScoring=BigBeerScoringStrategy [GAMEPOINT=4, ALCOHOLPOINT=2], beerSizing=BigBeerSizingStrategy [WIDTH=5, HEIGHT=15]]Player [playerName=null, gameScore=0, alcoholLevel=0, xMove=-3.5, getGameScore()=0, getAlcoholLevel()=0, getPosX()=361.5]
Beer [beerMoving=RegularBeerMovingStrategy [posY=98.0], beerScoring=BigBeerScoringStrategy [GAMEPOINT=4, ALCOHOLPOINT=2], beerSizing=BigBeerSizingStrategy [WIDTH=5, HEIGHT=15]]Player [playerName=null, gameScore=0, alcoholLevel=0, xMove=-3.5, getGameScore()=0, getAlcoholLevel()=0, getPosX()=358.0]
Beer [beerMoving=RegularBeerMovingStrategy [posY=100.0], beerScoring=BigBeerScoringStrategy [GAMEPOINT=4, ALCOHOLPOINT=2], beerSizing=BigBeerSizingStrategy [WIDTH=5, HEIGHT=15]]Player [playerName=null, gameScore=0, alcoholLevel=0, xMove=-3.5, getGameScore()=0, getAlcoholLevel()=0, getPosX()=354.5]
Beer [beerMoving=RegularBeerMovingStrategy [posY=102.0], beerScoring=BigBeerScoringStrategy [GAMEPOINT=4, ALCOHOLPOINT=2], beerSizing=BigBeerSizingStrategy [WIDTH=5, HEIGHT=15]]Player [playerName=null, gameScore=0, alcoholLevel=0, xMove=-3.5, getGameScore()=0, getAlcoholLevel()=0, getPosX()=351.0]
